,train_size,loss,test_spearman,test_pearson,test_mse
9782,625,mse,0.732,0.931,0.146
9783,625,bradley_terry,0.999,0.448,163.051
9784,625,mse,0.775,0.818,0.348
9785,625,bradley_terry,0.873,0.335,8.050
9786,625,mse,0.764,0.850,0.338
9787,625,bradley_terry,1.000,0.452,455.203
9788,625,mse,0.858,0.758,0.452
9789,625,bradley_terry,1.000,0.446,443.935
9790,625,mse,0.871,0.896,0.204
9791,625,bradley_terry,1.000,0.442,1409.242
9792,625,mse,0.728,0.868,0.255
9793,625,bradley_terry,0.994,0.446,657.014
9794,625,mse,0.800,0.964,0.076
9795,625,bradley_terry,0.873,0.355,11.521
9796,625,mse,0.770,0.937,0.133
9797,625,bradley_terry,0.870,0.355,5.353
9798,625,mse,0.788,0.867,0.254
9799,625,bradley_terry,1.000,0.440,516.758
9800,625,mse,0.844,0.783,0.394
9801,625,bradley_terry,0.999,0.436,140.415
9802,625,mse,0.759,0.882,0.223
9803,625,bradley_terry,0.999,0.440,966.350
9804,625,mse,0.868,0.948,0.111
9805,625,bradley_terry,1.000,0.429,1277.752
9806,625,mse,0.767,0.975,0.051
9807,625,bradley_terry,0.999,0.435,414.108
9808,625,mse,0.736,0.889,0.218
9809,625,bradley_terry,0.999,0.455,229.701
9810,625,mse,0.856,0.855,0.280
9811,625,bradley_terry,1.000,0.442,289.517
9812,625,mse,0.782,0.923,0.149
9813,625,bradley_terry,0.999,0.445,540.736
9814,625,mse,0.844,0.829,0.340
9815,625,bradley_terry,0.996,0.432,138.425
9816,625,mse,0.838,0.916,0.162
9817,625,bradley_terry,0.874,0.358,4.932
9818,625,mse,0.824,0.933,0.130
9819,625,bradley_terry,0.997,0.429,144.617
9820,625,mse,0.767,0.945,0.109
9821,625,bradley_terry,0.999,0.440,424.870
9822,625,mse,0.859,0.781,0.397
9823,625,bradley_terry,1.000,0.443,1770.216
9824,625,mse,0.757,0.928,0.142
9825,625,bradley_terry,1.000,0.446,427.650
9826,625,mse,0.685,0.939,0.119
9827,625,bradley_terry,1.000,0.428,345.867
9828,625,mse,0.766,0.860,0.261
9829,625,bradley_terry,0.999,0.439,804.746
9830,625,mse,0.802,0.967,0.066
9831,625,bradley_terry,0.999,0.459,313.016
9832,625,mse,0.835,0.847,0.287
9833,625,bradley_terry,0.866,0.371,3.763
9834,625,mse,0.873,0.802,0.364
9835,625,bradley_terry,0.999,0.436,276.944
9836,625,mse,0.749,0.901,0.197
9837,625,bradley_terry,0.999,0.441,265.720
9838,625,mse,0.768,0.919,0.173
9839,625,bradley_terry,1.000,0.449,320.253
9840,625,mse,0.847,0.987,0.027
9841,625,bradley_terry,1.000,0.456,848.562
9842,625,mse,0.785,0.894,0.209
9843,625,bradley_terry,1.000,0.443,510.083
9844,625,mse,0.717,0.440,0.814
9845,625,bradley_terry,0.999,0.451,268.065
9846,625,mse,0.714,0.896,0.201
9847,625,bradley_terry,0.994,0.440,107.992
9848,625,mse,0.820,0.909,0.186
9849,625,bradley_terry,0.999,0.446,202.391
9850,625,mse,0.882,0.887,0.220
9851,625,bradley_terry,0.999,0.442,406.805
9852,625,mse,0.670,0.904,0.188
9853,625,bradley_terry,0.994,0.428,333.419
9854,625,mse,0.829,0.841,0.294
9855,625,bradley_terry,1.000,0.447,586.763
9856,625,mse,0.780,0.937,0.123
9857,625,bradley_terry,0.999,0.442,655.368
9858,625,mse,0.731,0.918,0.161
9859,625,bradley_terry,1.000,0.448,636.528
9860,625,mse,0.797,0.817,0.344
9861,625,bradley_terry,0.999,0.438,708.661
9862,625,mse,0.742,0.929,0.138
9863,625,bradley_terry,0.999,0.442,237.595
9864,625,mse,0.689,0.912,0.174
9865,625,bradley_terry,1.000,0.447,1531.574
9866,625,mse,0.786,0.903,0.210
9867,625,bradley_terry,1.000,0.448,626.968
9868,625,mse,0.837,0.861,0.290
9869,625,bradley_terry,0.999,0.446,219.787
9870,625,mse,0.755,0.882,0.232
9871,625,bradley_terry,0.999,0.444,168.193
9872,625,mse,0.865,0.773,0.409
9873,625,bradley_terry,0.999,0.450,313.910
9874,625,mse,0.709,0.442,0.811
9875,625,bradley_terry,1.000,0.444,596.347
9876,625,mse,0.854,0.764,0.418
9877,625,bradley_terry,1.000,0.439,307.969
9878,625,mse,0.748,0.946,0.106
9879,625,bradley_terry,1.000,0.436,581.727
9880,625,mse,0.854,0.848,0.287
9881,625,bradley_terry,0.998,0.432,177.097
9882,625,mse,0.822,0.926,0.146
9883,625,bradley_terry,0.999,0.436,1083.515
9884,625,mse,0.815,0.857,0.274
9885,625,bradley_terry,0.999,0.447,258.009
9886,625,mse,0.872,0.890,0.209
9887,625,bradley_terry,0.999,0.445,319.107
9888,625,mse,0.864,0.888,0.294
9889,625,bradley_terry,0.999,0.442,243.516
9890,625,mse,0.767,0.951,0.100
9891,625,bradley_terry,0.999,0.449,358.259
9892,625,mse,0.809,0.962,0.078
9893,625,bradley_terry,0.999,0.443,391.025
9894,625,mse,0.871,0.806,0.381
9895,625,bradley_terry,1.000,0.449,641.142
9896,625,mse,0.835,0.965,0.071
9897,625,bradley_terry,0.996,0.445,313.105
9898,625,mse,0.825,0.945,0.111
9899,625,bradley_terry,0.873,0.359,4.045
9900,625,mse,0.730,0.450,0.799
9901,625,bradley_terry,0.879,0.351,4.765
9902,625,mse,0.775,0.962,0.074
9903,625,bradley_terry,0.999,0.448,310.033
9904,625,mse,0.829,0.904,0.186
9905,625,bradley_terry,0.999,0.450,1144.820
9906,625,mse,0.674,0.937,0.129
9907,625,bradley_terry,1.000,0.438,619.568
9908,625,mse,0.779,0.904,0.192
9909,625,bradley_terry,0.872,0.335,7.911
9910,625,mse,0.816,0.845,0.288
9911,625,bradley_terry,0.876,0.342,11.656
9912,625,mse,0.733,0.976,0.049
9913,625,bradley_terry,0.999,0.432,495.766
9914,625,mse,0.760,0.949,0.100
9915,625,bradley_terry,0.999,0.441,453.681
9916,625,mse,0.796,0.942,0.117
9917,625,bradley_terry,1.000,0.446,528.561
9918,625,mse,0.831,0.869,0.250
9919,625,bradley_terry,0.998,0.439,144.399
9920,625,mse,0.770,0.852,0.281
9921,625,bradley_terry,0.999,0.440,230.279
9922,625,mse,0.818,0.867,0.256
9923,625,bradley_terry,0.999,0.452,282.665
9924,625,mse,0.806,0.942,0.118
9925,625,bradley_terry,0.999,0.445,413.570
9926,625,mse,0.785,0.430,0.821
9927,625,bradley_terry,1.000,0.444,857.558
9928,625,mse,0.842,0.989,0.023
9929,625,bradley_terry,0.999,0.446,283.905
9930,625,mse,0.825,0.892,0.211
9931,625,bradley_terry,0.996,0.449,113.777
9932,625,mse,0.845,0.834,0.306
9933,625,bradley_terry,0.999,0.443,283.965
9934,625,mse,0.738,0.860,0.263
9935,625,bradley_terry,0.999,0.438,359.086
9936,625,mse,0.837,0.827,0.321
9937,625,bradley_terry,1.000,0.445,387.181
9938,625,mse,0.841,0.930,0.139
9939,625,bradley_terry,1.000,0.451,770.001
9940,625,mse,0.778,0.897,0.261
9941,625,bradley_terry,0.999,0.451,601.465
9942,625,mse,0.734,0.939,0.125
9943,625,bradley_terry,0.999,0.441,200.369
9944,625,mse,0.763,0.906,0.180
9945,625,bradley_terry,0.994,0.435,114.425
9946,625,mse,0.735,0.450,0.802
9947,625,bradley_terry,0.999,0.444,397.649
9948,625,mse,0.751,0.951,0.096
9949,625,bradley_terry,1.000,0.444,668.951
9950,625,mse,0.855,0.982,0.039
9951,625,bradley_terry,0.998,0.441,179.545
9952,625,mse,0.748,0.913,0.176
9953,625,bradley_terry,0.997,0.445,219.857
9954,625,mse,0.809,0.804,0.354
9955,625,bradley_terry,0.999,0.438,893.370
9956,625,mse,0.707,0.439,0.808
9957,625,bradley_terry,1.000,0.443,577.311
9958,625,mse,0.704,0.897,0.197
9959,625,bradley_terry,0.999,0.443,370.684
9960,625,mse,0.834,0.788,0.398
9961,625,bradley_terry,0.999,0.435,567.362
9962,625,mse,0.858,0.879,0.229
9963,625,bradley_terry,1.000,0.449,579.147
9964,625,mse,0.826,0.897,0.199
9965,625,bradley_terry,0.998,0.439,316.977
9966,625,mse,0.803,0.904,0.191
9967,625,bradley_terry,0.999,0.455,472.403
9968,625,mse,0.793,0.889,0.212
9969,625,bradley_terry,0.999,0.432,402.006
9970,625,mse,0.759,0.860,0.265
9971,625,bradley_terry,0.991,0.437,69.899
9972,625,mse,0.800,0.887,0.218
9973,625,bradley_terry,1.000,0.442,920.003
9974,625,mse,0.806,0.932,0.206
9975,625,bradley_terry,1.000,0.451,1023.219
9976,625,mse,0.812,0.927,0.157
9977,625,bradley_terry,0.999,0.451,319.209
9978,625,mse,0.749,0.870,0.251
9979,625,bradley_terry,1.000,0.438,234.209
9980,625,mse,0.758,0.971,0.060
9981,625,bradley_terry,0.996,0.440,112.630
9982,625,mse,0.793,0.931,0.138
9983,625,bradley_terry,0.891,0.346,44.237
9984,625,mse,0.750,0.936,0.128
9985,625,bradley_terry,0.999,0.446,225.972
9986,625,mse,0.807,0.930,0.135
9987,625,bradley_terry,0.999,0.452,519.976
9988,625,mse,0.839,0.751,0.480
9989,625,bradley_terry,0.873,0.377,3.828
9990,625,mse,0.800,0.892,0.213
9991,625,bradley_terry,0.998,0.453,202.326
9992,625,mse,0.770,0.977,0.047
9993,625,bradley_terry,1.000,0.442,1235.910
9994,625,mse,0.823,0.968,0.064
9995,625,bradley_terry,0.998,0.449,394.154
9996,625,mse,0.791,0.425,0.842
9997,625,bradley_terry,0.999,0.443,1140.744
9998,625,mse,0.791,0.913,0.173
9999,625,bradley_terry,0.999,0.439,1014.320
10000,650,mse,0.770,0.883,0.233
10001,650,bradley_terry,0.997,0.446,364.408
10002,650,mse,0.855,0.840,0.297
10003,650,bradley_terry,0.998,0.436,145.624
10004,650,mse,0.879,0.806,0.358
10005,650,bradley_terry,0.999,0.442,492.193
10006,650,mse,0.825,0.915,0.206
10007,650,bradley_terry,0.999,0.450,236.639
10008,650,mse,0.799,0.868,0.249
10009,650,bradley_terry,0.999,0.452,241.683
10010,650,mse,0.878,0.805,0.387
10011,650,bradley_terry,0.995,0.436,104.065
10012,650,mse,0.824,0.893,0.234
10013,650,bradley_terry,0.999,0.439,190.483
10014,650,mse,0.787,0.907,0.205
10015,650,bradley_terry,0.999,0.457,366.488
10016,650,mse,0.846,0.777,0.399
10017,650,bradley_terry,0.999,0.446,255.085
10018,650,mse,0.897,0.835,0.308
10019,650,bradley_terry,0.998,0.449,136.563
10020,650,mse,0.832,0.913,0.184
10021,650,bradley_terry,0.877,0.351,5.978
10022,650,mse,0.836,0.734,0.474
10023,650,bradley_terry,0.999,0.452,259.401
10024,650,mse,0.757,0.890,0.231
10025,650,bradley_terry,0.999,0.441,308.808
10026,650,mse,0.839,0.901,0.228
10027,650,bradley_terry,0.872,0.343,11.678
10028,650,mse,0.785,0.909,0.188
10029,650,bradley_terry,0.999,0.437,185.312
10030,650,mse,0.788,0.900,0.194
10031,650,bradley_terry,0.998,0.452,118.788
10032,650,mse,0.826,0.801,0.365
10033,650,bradley_terry,0.990,0.433,152.188
10034,650,mse,0.910,0.888,0.227
10035,650,bradley_terry,0.999,0.459,139.616
10036,650,mse,0.877,0.868,0.248
10037,650,bradley_terry,0.997,0.442,127.032
10038,650,mse,0.811,0.888,0.228
10039,650,bradley_terry,0.995,0.450,72.389
10040,650,mse,0.879,0.773,0.412
10041,650,bradley_terry,0.997,0.439,788.176
10042,650,mse,0.761,0.871,0.243
10043,650,bradley_terry,0.999,0.454,302.191
10044,650,mse,0.763,0.963,0.075
10045,650,bradley_terry,0.876,0.362,3.872
10046,650,mse,0.890,0.781,0.426
10047,650,bradley_terry,0.999,0.438,240.385
10048,650,mse,0.840,0.834,0.321
10049,650,bradley_terry,0.999,0.442,395.103
10050,650,mse,0.868,0.789,0.419
10051,650,bradley_terry,0.998,0.449,207.086
10052,650,mse,0.727,0.714,0.513
10053,650,bradley_terry,0.999,0.452,168.847
10054,650,mse,0.845,0.854,0.272
10055,650,bradley_terry,0.999,0.449,1625.949
10056,650,mse,0.852,0.875,0.264
10057,650,bradley_terry,0.997,0.440,175.124
10058,650,mse,0.875,0.889,0.211
10059,650,bradley_terry,0.997,0.453,80.225
10060,650,mse,0.753,0.886,0.223
10061,650,bradley_terry,0.999,0.444,227.156
10062,650,mse,0.875,0.875,0.240
10063,650,bradley_terry,0.999,0.453,190.769
10064,650,mse,0.877,0.785,0.411
10065,650,bradley_terry,0.998,0.442,231.818
10066,650,mse,0.784,0.892,0.232
10067,650,bradley_terry,0.998,0.443,217.201
10068,650,mse,0.883,0.806,0.357
10069,650,bradley_terry,0.998,0.446,357.456
10070,650,mse,0.770,0.913,0.187
10071,650,bradley_terry,0.999,0.451,292.164
10072,650,mse,0.867,0.837,0.300
10073,650,bradley_terry,0.994,0.444,117.830
10074,650,mse,0.871,0.858,0.300
10075,650,bradley_terry,0.994,0.449,80.056
10076,650,mse,0.859,0.903,0.191
10077,650,bradley_terry,0.999,0.454,344.248
10078,650,mse,0.779,0.868,0.256
10079,650,bradley_terry,0.997,0.442,266.533
10080,650,mse,0.894,0.798,0.364
10081,650,bradley_terry,0.995,0.435,536.762
10082,650,mse,0.742,0.434,0.820
10083,650,bradley_terry,0.995,0.434,165.668
10084,650,mse,0.722,0.939,0.118
10085,650,bradley_terry,0.999,0.442,287.309
10086,650,mse,0.868,0.881,0.235
10087,650,bradley_terry,0.999,0.452,253.260
10088,650,mse,0.690,0.681,0.544
10089,650,bradley_terry,0.997,0.448,238.861
10090,650,mse,0.871,0.878,0.240
10091,650,bradley_terry,0.999,0.443,237.841
10092,650,mse,0.869,0.854,0.304
10093,650,bradley_terry,0.998,0.436,306.860
10094,650,mse,0.782,0.888,0.214
10095,650,bradley_terry,0.996,0.440,121.702
10096,650,mse,0.787,0.902,0.187
10097,650,bradley_terry,0.999,0.438,263.855
10098,650,mse,0.716,0.929,0.139
10099,650,bradley_terry,0.997,0.447,402.413
10100,650,mse,0.793,0.853,0.275
10101,650,bradley_terry,0.997,0.440,915.930
10102,650,mse,0.818,0.911,0.174
10103,650,bradley_terry,0.998,0.435,412.141
10104,650,mse,0.845,0.887,0.213
10105,650,bradley_terry,0.997,0.452,208.464
10106,650,mse,0.803,0.813,0.348
10107,650,bradley_terry,0.997,0.439,174.176
10108,650,mse,0.791,0.907,0.201
10109,650,bradley_terry,0.998,0.439,348.335
10110,650,mse,0.832,0.821,0.351
10111,650,bradley_terry,0.998,0.461,97.654
10112,650,mse,0.719,0.914,0.166
10113,650,bradley_terry,0.993,0.450,88.816
10114,650,mse,0.837,0.875,0.250
10115,650,bradley_terry,0.999,0.442,315.036
10116,650,mse,0.844,0.903,0.214
10117,650,bradley_terry,0.999,0.441,598.458
10118,650,mse,0.873,0.891,0.226
10119,650,bradley_terry,0.998,0.441,142.390
10120,650,mse,0.840,0.835,0.305
10121,650,bradley_terry,0.994,0.444,98.977
10122,650,mse,0.709,0.934,0.151
10123,650,bradley_terry,0.998,0.436,123.144
10124,650,mse,0.751,0.848,0.285
10125,650,bradley_terry,0.997,0.446,155.408
10126,650,mse,0.760,0.434,0.815
10127,650,bradley_terry,0.995,0.431,176.344
10128,650,mse,0.781,0.907,0.186
10129,650,bradley_terry,0.976,0.474,24.459
10130,650,mse,0.828,0.874,0.264
10131,650,bradley_terry,0.984,0.436,199.277
10132,650,mse,0.831,0.891,0.209
10133,650,bradley_terry,0.998,0.446,131.554
10134,650,mse,0.639,0.891,0.301
10135,650,bradley_terry,0.994,0.463,89.812
10136,650,mse,0.829,0.867,0.263
10137,650,bradley_terry,0.999,0.445,255.604
10138,650,mse,0.898,0.877,0.230
10139,650,bradley_terry,0.872,0.326,10.080
10140,650,mse,0.835,0.858,0.288
10141,650,bradley_terry,0.997,0.433,178.370
10142,650,mse,0.726,0.441,0.810
10143,650,bradley_terry,0.998,0.449,195.005
10144,650,mse,0.866,0.792,0.453
10145,650,bradley_terry,0.998,0.440,139.595
10146,650,mse,0.723,0.463,0.789
10147,650,bradley_terry,0.997,0.430,129.296
10148,650,mse,0.865,0.818,0.356
10149,650,bradley_terry,0.998,0.446,171.524
10150,650,mse,0.806,0.891,0.210
10151,650,bradley_terry,0.998,0.459,146.994
10152,650,mse,0.877,0.855,0.270
10153,650,bradley_terry,0.871,0.341,9.924
10154,650,mse,0.837,0.869,0.269
10155,650,bradley_terry,0.997,0.447,113.610
10156,650,mse,0.782,0.816,0.354
10157,650,bradley_terry,0.998,0.439,126.985
10158,650,mse,0.746,0.849,0.333
10159,650,bradley_terry,0.998,0.426,387.445
10160,650,mse,0.867,0.866,0.251
10161,650,bradley_terry,0.999,0.443,541.617
10162,650,mse,0.727,0.445,0.828
10163,650,bradley_terry,0.997,0.435,199.503
10164,650,mse,0.877,0.884,0.223
10165,650,bradley_terry,1.000,0.445,759.598
10166,650,mse,0.811,0.889,0.229
10167,650,bradley_terry,1.000,0.448,299.276
10168,650,mse,0.858,0.872,0.240
10169,650,bradley_terry,0.999,0.439,489.351
10170,650,mse,0.837,0.823,0.344
10171,650,bradley_terry,0.999,0.437,274.054
10172,650,mse,0.827,0.864,0.263
10173,650,bradley_terry,0.990,0.445,68.422
10174,650,mse,0.914,0.818,0.336
10175,650,bradley_terry,0.999,0.448,331.840
10176,650,mse,0.844,0.833,0.320
10177,650,bradley_terry,0.994,0.436,54.728
10178,650,mse,0.777,0.904,0.191
10179,650,bradley_terry,0.873,0.355,4.005
10180,650,mse,0.806,0.819,0.374
10181,650,bradley_terry,0.997,0.444,309.953
10182,650,mse,0.831,0.856,0.285
10183,650,bradley_terry,0.997,0.447,120.471
10184,650,mse,0.858,0.862,0.259
10185,650,bradley_terry,0.997,0.449,152.258
10186,650,mse,0.819,0.920,0.199
10187,650,bradley_terry,0.877,0.329,13.821
10188,650,mse,0.783,0.450,0.803
10189,650,bradley_terry,0.991,0.439,52.662
10190,650,mse,0.812,0.889,0.212
10191,650,bradley_terry,0.999,0.444,184.889
10192,650,mse,0.827,0.820,0.330
10193,650,bradley_terry,0.999,0.439,123.895
10194,650,mse,0.701,0.881,0.226
10195,650,bradley_terry,0.990,0.443,82.580
10196,650,mse,0.856,0.800,0.361
10197,650,bradley_terry,0.999,0.442,254.101
10198,650,mse,0.832,0.760,0.427
10199,650,bradley_terry,0.999,0.447,285.176
10200,650,mse,0.748,0.857,0.284
10201,650,bradley_terry,0.999,0.445,533.138
10202,650,mse,0.794,0.948,0.127
10203,650,bradley_terry,0.999,0.436,202.965
10204,650,mse,0.746,0.927,0.145
10205,650,bradley_terry,0.997,0.438,191.232
10206,650,mse,0.742,0.865,0.273
10207,650,bradley_terry,0.877,0.363,13.382
10208,650,mse,0.796,0.914,0.188
10209,650,bradley_terry,0.999,0.451,621.033
10210,650,mse,0.799,0.871,0.246
10211,650,bradley_terry,0.998,0.431,908.767
10212,650,mse,0.842,0.922,0.150
10213,650,bradley_terry,0.998,0.439,180.765
10214,650,mse,0.703,0.438,0.842
10215,650,bradley_terry,0.999,0.440,305.159
10216,650,mse,0.835,0.849,0.282
10217,650,bradley_terry,0.995,0.444,116.284
10218,650,mse,0.755,0.453,0.810
10219,650,bradley_terry,0.871,0.340,4.736
10220,650,mse,0.835,0.823,0.325
10221,650,bradley_terry,0.998,0.439,121.345
10222,650,mse,0.866,0.834,0.319
10223,650,bradley_terry,0.998,0.449,270.109
10224,650,mse,0.732,0.890,0.229
10225,650,bradley_terry,0.998,0.445,152.869
10226,650,mse,0.853,0.817,0.334
10227,650,bradley_terry,0.999,0.448,258.242
10228,650,mse,0.814,0.894,0.224
10229,650,bradley_terry,0.998,0.453,214.191
10230,650,mse,0.762,0.947,0.103
10231,650,bradley_terry,0.874,0.343,9.517
10232,650,mse,0.889,0.843,0.306
10233,650,bradley_terry,0.999,0.458,163.669
10234,650,mse,0.731,0.441,0.806
10235,650,bradley_terry,0.999,0.443,391.584
10236,650,mse,0.769,0.902,0.194
10237,650,bradley_terry,0.999,0.444,610.078
10238,650,mse,0.872,0.813,0.383
10239,650,bradley_terry,0.999,0.457,156.674
10240,650,mse,0.774,0.912,0.169
10241,650,bradley_terry,0.998,0.444,199.548
10242,650,mse,0.831,0.817,0.340
10243,650,bradley_terry,0.998,0.447,145.983
10244,650,mse,0.769,0.880,0.241
10245,650,bradley_terry,0.999,0.443,219.782
10246,650,mse,0.800,0.836,0.306
10247,650,bradley_terry,0.999,0.441,255.722
10248,650,mse,0.766,0.808,0.364
10249,650,bradley_terry,0.999,0.441,196.619
10250,650,mse,0.677,0.436,0.814
10251,650,bradley_terry,0.999,0.449,273.493
10252,650,mse,0.852,0.894,0.209
10253,650,bradley_terry,0.999,0.446,374.755
10254,650,mse,0.728,0.425,0.823
10255,650,bradley_terry,0.998,0.444,161.784
10256,650,mse,0.838,0.880,0.228
10257,650,bradley_terry,0.869,0.353,4.191
10258,650,mse,0.815,0.872,0.244
10259,650,bradley_terry,0.874,0.344,10.066
10260,650,mse,0.694,0.931,0.135
10261,650,bradley_terry,0.998,0.454,179.458
10262,650,mse,0.764,0.888,0.213
10263,650,bradley_terry,0.998,0.438,139.116
10264,650,mse,0.811,0.897,0.198
10265,650,bradley_terry,0.998,0.437,437.131
10266,650,mse,0.846,0.854,0.284
10267,650,bradley_terry,0.999,0.438,495.330
10268,650,mse,0.819,0.765,0.415
10269,650,bradley_terry,0.997,0.439,97.720
10270,650,mse,0.816,0.868,0.261
10271,650,bradley_terry,0.998,0.450,163.960
10272,650,mse,0.864,0.813,0.342
10273,650,bradley_terry,0.959,0.482,23.400
10274,650,mse,0.750,0.924,0.152
10275,650,bradley_terry,0.999,0.434,797.559
10276,650,mse,0.848,0.845,0.286
10277,650,bradley_terry,0.991,0.445,53.830
10278,650,mse,0.777,0.897,0.204
10279,650,bradley_terry,0.877,0.337,6.896
10280,650,mse,0.789,0.845,0.288
10281,650,bradley_terry,0.998,0.445,186.699
10282,650,mse,0.862,0.843,0.290
10283,650,bradley_terry,0.996,0.459,92.365
10284,650,mse,0.857,0.849,0.284
10285,650,bradley_terry,0.998,0.451,127.367
10286,650,mse,0.818,0.843,0.306
10287,650,bradley_terry,0.999,0.441,1561.093
10288,650,mse,0.851,0.936,0.126
10289,650,bradley_terry,0.997,0.458,179.191
10290,650,mse,0.812,0.786,0.421
10291,650,bradley_terry,0.998,0.451,136.062
10292,650,mse,0.847,0.886,0.228
10293,650,bradley_terry,0.999,0.448,220.625
10294,650,mse,0.848,0.889,0.216
10295,650,bradley_terry,0.998,0.435,214.858
10296,650,mse,0.711,0.426,0.836
10297,650,bradley_terry,0.999,0.453,282.911
10298,650,mse,0.805,0.815,0.342
10299,650,bradley_terry,0.997,0.427,849.112
10300,650,mse,0.706,0.447,0.806
10301,650,bradley_terry,0.995,0.447,130.834
10302,650,mse,0.869,0.823,0.329
10303,650,bradley_terry,0.998,0.456,166.871
10304,650,mse,0.824,0.841,0.326
10305,650,bradley_terry,0.999,0.454,448.796
10306,650,mse,0.734,0.432,0.834
10307,650,bradley_terry,0.999,0.457,195.138
10308,650,mse,0.853,0.927,0.159
10309,650,bradley_terry,0.999,0.450,244.172
10310,650,mse,0.750,0.757,0.438
10311,650,bradley_terry,0.998,0.447,159.119
10312,650,mse,0.754,0.448,0.821
10313,650,bradley_terry,0.998,0.437,134.472
10314,650,mse,0.790,0.895,0.202
10315,650,bradley_terry,0.996,0.443,359.280
10316,650,mse,0.862,0.829,0.323
10317,650,bradley_terry,0.997,0.433,111.123
10318,650,mse,0.855,0.810,0.353
10319,650,bradley_terry,0.996,0.444,150.885
10320,650,mse,0.730,0.434,0.815
10321,650,bradley_terry,0.999,0.442,170.143
10322,650,mse,0.770,0.447,0.803
10323,650,bradley_terry,0.997,0.440,148.843
10324,650,mse,0.836,0.908,0.188
10325,650,bradley_terry,0.997,0.435,370.049
10326,650,mse,0.758,0.454,0.796
10327,650,bradley_terry,0.994,0.444,71.953
10328,650,mse,0.771,0.449,0.801
10329,650,bradley_terry,0.998,0.455,156.840
10330,650,mse,0.835,0.853,0.273
10331,650,bradley_terry,0.997,0.448,98.665
10332,650,mse,0.860,0.889,0.233
10333,650,bradley_terry,0.998,0.449,129.618
10334,650,mse,0.779,0.857,0.276
10335,650,bradley_terry,0.995,0.442,140.863
10336,650,mse,0.821,0.791,0.375
10337,650,bradley_terry,0.996,0.436,78.745
10338,650,mse,0.885,0.873,0.240
10339,650,bradley_terry,0.998,0.440,231.986
10340,650,mse,0.862,0.873,0.246
10341,650,bradley_terry,0.999,0.452,174.780
10342,650,mse,0.833,0.880,0.227
10343,650,bradley_terry,0.998,0.431,151.437
10344,650,mse,0.753,0.932,0.134
10345,650,bradley_terry,0.999,0.442,232.796
10346,650,mse,0.838,0.861,0.344
10347,650,bradley_terry,0.999,0.442,673.887
10348,650,mse,0.881,0.809,0.355
10349,650,bradley_terry,0.998,0.432,554.601
10350,650,mse,0.801,0.823,0.328
10351,650,bradley_terry,0.999,0.448,239.927
10352,650,mse,0.821,0.843,0.295
10353,650,bradley_terry,0.876,0.353,8.835
10354,650,mse,0.852,0.761,0.436
10355,650,bradley_terry,0.999,0.454,325.234
10356,650,mse,0.747,0.443,0.807
10357,650,bradley_terry,0.999,0.441,216.392
10358,650,mse,0.864,0.825,0.340
10359,650,bradley_terry,0.997,0.439,161.822
10360,650,mse,0.820,0.769,0.449
10361,650,bradley_terry,0.991,0.441,71.391
10362,650,mse,0.790,0.878,0.241
10363,650,bradley_terry,0.999,0.443,112.333
10364,650,mse,0.768,0.861,0.267
10365,650,bradley_terry,0.998,0.438,177.341
10366,650,mse,0.777,0.850,0.282
10367,650,bradley_terry,0.990,0.438,88.591
10368,650,mse,0.779,0.914,0.174
10369,650,bradley_terry,0.999,0.449,275.217
10370,650,mse,0.774,0.888,0.213
10371,650,bradley_terry,0.999,0.455,306.790
10372,650,mse,0.807,0.848,0.315
10373,650,bradley_terry,0.999,0.436,293.672
10374,650,mse,0.820,0.876,0.247
10375,650,bradley_terry,0.999,0.438,234.510
10376,650,mse,0.808,0.433,0.833
10377,650,bradley_terry,0.998,0.437,229.258
10378,650,mse,0.848,0.822,0.326
10379,650,bradley_terry,0.999,0.448,160.094
10380,650,mse,0.767,0.438,0.819
10381,650,bradley_terry,0.996,0.439,87.868
10382,650,mse,0.855,0.813,0.339
10383,650,bradley_terry,0.998,0.451,189.248
10384,650,mse,0.822,0.874,0.258
10385,650,bradley_terry,0.998,0.448,638.218
10386,650,mse,0.787,0.899,0.199
10387,650,bradley_terry,0.998,0.446,78.352
10388,650,mse,0.836,0.820,0.383
10389,650,bradley_terry,0.998,0.444,183.389
10390,650,mse,0.772,0.909,0.177
10391,650,bradley_terry,0.999,0.447,818.607
10392,650,mse,0.723,0.823,0.386
10393,650,bradley_terry,0.994,0.446,102.367
10394,650,mse,0.737,0.889,0.235
10395,650,bradley_terry,0.997,0.437,530.655
10396,650,mse,0.795,0.939,0.121
10397,650,bradley_terry,0.874,0.342,5.875
10398,650,mse,0.844,0.842,0.315
10399,650,bradley_terry,0.998,0.438,334.497
10400,675,mse,0.722,0.875,0.234
10401,675,bradley_terry,0.999,0.447,906.709
10402,675,mse,0.768,0.874,0.249
10403,675,bradley_terry,1.000,0.440,816.608
10404,675,mse,0.868,0.880,0.226
10405,675,bradley_terry,1.000,0.452,713.035
10406,675,mse,0.861,0.868,0.248
10407,675,bradley_terry,0.999,0.436,909.148
10408,675,mse,0.744,0.978,0.045
10409,675,bradley_terry,1.000,0.448,736.239
10410,675,mse,0.811,0.768,0.418
10411,675,bradley_terry,0.998,0.442,180.567
10412,675,mse,0.736,0.940,0.117
10413,675,bradley_terry,0.999,0.444,467.366
10414,675,mse,0.768,0.917,0.161
10415,675,bradley_terry,1.000,0.451,813.035
