,train_size,loss,test_spearman,test_pearson,test_mse
244,25,mse,0.582,0.317,0.994
245,25,bradley_terry,0.719,0.358,0.983
246,25,mse,0.427,0.246,0.994
247,25,bradley_terry,0.674,0.296,0.946
248,25,mse,0.358,0.216,0.995
249,25,bradley_terry,0.697,0.250,1.004
250,25,mse,0.575,0.330,1.347
251,25,bradley_terry,0.633,0.256,0.970
252,25,mse,0.583,0.329,0.892
253,25,bradley_terry,0.576,0.235,1.704
254,25,mse,0.655,0.332,0.911
255,25,bradley_terry,0.720,0.269,1.450
256,25,mse,0.192,0.164,0.984
257,25,bradley_terry,0.683,0.368,1.027
258,25,mse,0.491,0.262,1.055
259,25,bradley_terry,0.667,0.201,1.110
260,25,mse,0.489,0.342,0.963
261,25,bradley_terry,0.478,0.221,0.989
262,25,mse,0.617,0.373,0.876
263,25,bradley_terry,0.810,0.334,616.849
264,25,mse,0.621,0.344,0.892
265,25,bradley_terry,0.814,0.369,6.756
266,25,mse,0.146,0.110,1.037
267,25,bradley_terry,0.427,0.211,0.968
268,25,mse,0.601,0.297,1.002
269,25,bradley_terry,0.718,0.273,0.983
270,25,mse,0.487,0.291,1.071
271,25,bradley_terry,0.758,0.359,1.745
272,25,mse,0.283,0.185,1.003
273,25,bradley_terry,0.677,0.275,1.315
274,25,mse,0.299,0.187,1.021
275,25,bradley_terry,0.551,0.179,1.231
276,25,mse,0.739,0.408,1.067
277,25,bradley_terry,0.666,0.230,1.040
278,25,mse,0.451,0.240,0.997
279,25,bradley_terry,0.742,0.345,0.987
280,25,mse,0.505,0.289,1.022
281,25,bradley_terry,0.676,0.201,1.041
282,25,mse,0.587,0.339,0.997
283,25,bradley_terry,0.449,0.237,1.073
284,25,mse,0.356,0.269,1.014
285,25,bradley_terry,0.659,0.331,0.980
286,25,mse,0.652,0.370,0.988
287,25,bradley_terry,0.709,0.373,0.920
288,25,mse,0.368,0.161,0.997
289,25,bradley_terry,0.628,0.349,0.882
290,25,mse,0.519,0.303,0.989
291,25,bradley_terry,0.633,0.228,5.407
292,25,mse,0.507,0.249,1.007
293,25,bradley_terry,0.655,0.292,1.735
294,25,mse,0.190,0.135,1.025
295,25,bradley_terry,0.740,0.346,359.525
296,25,mse,0.744,0.350,0.984
297,25,bradley_terry,0.625,0.212,0.973
298,25,mse,0.368,0.299,1.049
299,25,bradley_terry,0.785,0.325,606.566
300,25,mse,0.256,0.186,1.230
301,25,bradley_terry,0.636,0.282,16.069
302,25,mse,0.282,0.087,1.044
303,25,bradley_terry,0.754,0.290,1.096
304,25,mse,0.148,0.105,1.070
305,25,bradley_terry,0.772,0.329,1.012
306,25,mse,0.275,0.171,1.068
307,25,bradley_terry,0.653,0.293,2.956
308,25,mse,0.609,0.381,1.377
309,25,bradley_terry,0.697,0.349,406.664
310,25,mse,0.435,0.249,1.020
311,25,bradley_terry,0.652,0.194,1.019
312,25,mse,0.546,0.270,1.073
313,25,bradley_terry,0.743,0.328,189.629
314,25,mse,0.410,0.282,0.970
315,25,bradley_terry,0.614,0.214,0.989
316,25,mse,0.427,0.148,1.024
317,25,bradley_terry,0.690,0.234,11.066
318,25,mse,0.556,0.286,1.034
319,25,bradley_terry,0.635,0.279,2.097
320,25,mse,0.517,0.226,1.046
321,25,bradley_terry,0.481,0.225,1.115
322,25,mse,0.362,0.326,0.947
323,25,bradley_terry,0.725,0.368,1.328
324,25,mse,0.708,0.315,0.924
325,25,bradley_terry,0.607,0.271,0.936
326,25,mse,0.448,0.296,1.012
327,25,bradley_terry,0.606,0.314,1.037
328,25,mse,0.598,0.358,1.006
329,25,bradley_terry,0.815,0.362,1161.944
330,25,mse,0.290,0.162,1.050
331,25,bradley_terry,0.533,0.208,0.993
332,25,mse,0.673,0.276,0.986
333,25,bradley_terry,0.793,0.333,928.288
334,25,mse,0.623,0.418,0.908
335,25,bradley_terry,0.667,0.339,0.991
336,25,mse,0.786,0.441,0.899
337,25,bradley_terry,0.520,0.193,1.005
338,25,mse,0.585,0.642,0.773
339,25,bradley_terry,0.531,0.346,6.721
340,25,mse,0.715,0.400,0.974
341,25,bradley_terry,0.783,0.354,0.976
342,25,mse,-0.015,0.150,1.061
343,25,bradley_terry,0.818,0.361,591.057
344,25,mse,0.343,0.228,1.048
345,25,bradley_terry,0.784,0.284,708.340
346,25,mse,0.421,0.152,0.995
347,25,bradley_terry,0.510,0.132,0.995
348,25,mse,0.462,0.235,1.012
349,25,bradley_terry,0.843,0.396,5.896
350,25,mse,0.555,0.310,0.988
351,25,bradley_terry,0.521,0.175,0.997
352,25,mse,0.246,0.220,1.110
353,25,bradley_terry,0.730,0.355,0.950
354,25,mse,0.391,0.277,1.298
355,25,bradley_terry,0.834,0.386,659.216
356,25,mse,0.459,0.318,1.108
357,25,bradley_terry,0.556,0.235,1.043
358,25,mse,0.114,0.030,1.106
359,25,bradley_terry,0.424,0.118,0.998
360,25,mse,0.474,0.309,0.966
361,25,bradley_terry,0.817,0.384,3.003
362,25,mse,0.586,0.327,0.986
363,25,bradley_terry,0.755,0.343,1.104
364,25,mse,0.483,0.075,1.053
365,25,bradley_terry,0.532,0.127,1.051
366,25,mse,0.681,0.342,0.977
367,25,bradley_terry,0.706,0.267,1.025
368,25,mse,0.560,0.336,0.916
369,25,bradley_terry,0.481,0.273,1.051
370,25,mse,0.255,0.127,1.022
371,25,bradley_terry,0.510,0.190,1.032
372,25,mse,0.468,0.282,1.656
373,25,bradley_terry,0.756,0.289,5.021
374,25,mse,0.602,0.356,0.874
375,25,bradley_terry,0.709,0.309,1.182
376,25,mse,0.524,0.238,0.994
377,25,bradley_terry,0.723,0.286,7.979
378,25,mse,0.666,0.321,0.991
379,25,bradley_terry,0.737,0.328,0.982
380,25,mse,0.581,0.320,1.000
381,25,bradley_terry,0.827,0.355,1.611
382,25,mse,0.594,0.293,0.999
383,25,bradley_terry,0.627,0.234,0.985
384,25,mse,0.289,0.172,1.021
385,25,bradley_terry,0.787,0.305,1.533
386,25,mse,0.743,0.395,1.013
387,25,bradley_terry,0.723,0.290,0.987
388,25,mse,0.293,0.016,1.060
389,25,bradley_terry,0.835,0.339,1207.609
390,25,mse,0.482,0.326,1.084
391,25,bradley_terry,0.553,0.293,0.976
392,25,mse,0.313,0.153,1.001
393,25,bradley_terry,0.761,0.352,50.429
394,25,mse,0.523,0.287,0.996
395,25,bradley_terry,0.695,0.350,0.983
396,25,mse,0.442,0.126,0.994
397,25,bradley_terry,0.805,0.359,3.939
398,25,mse,0.393,0.143,0.999
399,25,bradley_terry,0.509,0.205,0.994
400,50,mse,0.379,0.255,1.021
401,50,bradley_terry,0.747,0.317,1.055
402,50,mse,0.143,0.124,1.006
403,50,bradley_terry,0.702,0.348,1.019
404,50,mse,0.768,0.307,1.212
405,50,bradley_terry,0.696,0.292,0.987
406,50,mse,0.445,0.312,1.139
407,50,bradley_terry,0.793,0.362,1.030
408,50,mse,0.629,0.235,0.950
409,50,bradley_terry,0.547,0.207,1.026
410,50,mse,0.494,0.350,1.348
411,50,bradley_terry,0.768,0.373,0.999
412,50,mse,0.723,0.418,0.882
413,50,bradley_terry,0.712,0.319,0.926
414,50,mse,0.480,0.367,0.944
415,50,bradley_terry,0.615,0.235,1.001
416,50,mse,0.183,0.120,1.151
417,50,bradley_terry,0.817,0.357,1.015
418,50,mse,0.633,0.364,0.996
419,50,bradley_terry,0.813,0.317,1.062
420,50,mse,0.604,0.253,1.009
421,50,bradley_terry,0.733,0.284,1.011
422,50,mse,0.470,0.236,0.973
423,50,bradley_terry,0.731,0.333,0.893
424,50,mse,0.368,0.247,1.004
425,50,bradley_terry,0.547,0.291,0.990
426,50,mse,0.531,0.367,0.982
427,50,bradley_terry,0.678,0.283,0.945
428,50,mse,0.416,0.340,1.003
429,50,bradley_terry,0.670,0.343,0.919
430,50,mse,0.649,0.324,0.995
431,50,bradley_terry,0.603,0.277,0.970
432,50,mse,0.592,0.248,1.035
433,50,bradley_terry,0.673,0.267,0.971
434,50,mse,0.519,0.266,1.000
435,50,bradley_terry,0.696,0.346,0.965
436,50,mse,0.744,0.465,0.807
437,50,bradley_terry,0.788,0.376,1.027
438,50,mse,0.593,0.236,1.018
439,50,bradley_terry,0.580,0.208,0.998
440,50,mse,0.755,0.360,0.960
441,50,bradley_terry,0.729,0.346,0.980
442,50,mse,0.773,0.393,0.973
443,50,bradley_terry,0.740,0.331,0.983
444,50,mse,0.569,0.441,0.824
445,50,bradley_terry,0.719,0.355,0.970
446,50,mse,0.656,0.456,0.935
447,50,bradley_terry,0.713,0.322,0.938
448,50,mse,0.519,0.336,0.986
449,50,bradley_terry,0.741,0.337,1.008
450,50,mse,0.500,0.313,0.943
451,50,bradley_terry,0.697,0.292,0.969
452,50,mse,0.564,0.337,0.958
453,50,bradley_terry,0.622,0.301,0.988
454,50,mse,0.745,0.558,0.690
455,50,bradley_terry,0.720,0.266,2.192
456,50,mse,0.572,0.320,0.981
457,50,bradley_terry,0.763,0.315,0.964
458,50,mse,0.600,0.391,0.912
459,50,bradley_terry,0.746,0.331,1.257
460,50,mse,0.684,0.478,1.122
461,50,bradley_terry,0.750,0.298,0.942
462,50,mse,0.424,0.338,0.935
463,50,bradley_terry,0.800,0.361,5.531
464,50,mse,0.600,0.237,1.003
465,50,bradley_terry,0.654,0.240,0.953
466,50,mse,0.627,0.246,0.995
467,50,bradley_terry,0.774,0.277,1.002
468,50,mse,0.603,0.468,0.947
469,50,bradley_terry,0.711,0.384,0.968
470,50,mse,0.530,0.341,0.897
471,50,bradley_terry,0.756,0.366,0.922
472,50,mse,0.440,0.333,0.971
473,50,bradley_terry,0.837,0.410,3.008
474,50,mse,0.635,0.218,1.025
475,50,bradley_terry,0.691,0.270,0.984
476,50,mse,0.648,0.406,0.893
477,50,bradley_terry,0.720,0.332,0.935
478,50,mse,0.665,0.284,1.021
479,50,bradley_terry,0.701,0.273,0.989
480,50,mse,0.618,0.203,0.987
481,50,bradley_terry,0.740,0.333,0.945
482,50,mse,0.672,0.425,0.840
483,50,bradley_terry,0.793,0.333,3.801
484,50,mse,0.534,0.379,0.992
485,50,bradley_terry,0.712,0.345,1.060
486,50,mse,0.514,0.447,0.812
487,50,bradley_terry,0.626,0.339,1.358
488,50,mse,0.450,0.222,0.993
489,50,bradley_terry,0.628,0.263,0.992
490,50,mse,0.342,0.274,1.019
491,50,bradley_terry,0.700,0.344,0.962
492,50,mse,0.439,0.308,0.991
493,50,bradley_terry,0.657,0.362,1.133
494,50,mse,0.624,0.352,0.998
495,50,bradley_terry,0.726,0.272,1.055
496,50,mse,0.510,0.361,1.045
497,50,bradley_terry,0.648,0.315,0.963
498,50,mse,-0.038,-0.088,1.050
499,50,bradley_terry,0.766,0.266,1.004
500,50,mse,0.822,0.481,0.779
501,50,bradley_terry,0.828,0.382,2.332
502,50,mse,0.618,0.412,1.185
503,50,bradley_terry,0.699,0.285,0.973
504,50,mse,0.519,0.355,0.988
505,50,bradley_terry,0.793,0.397,1.526
506,50,mse,0.619,0.342,1.010
507,50,bradley_terry,0.631,0.327,0.946
508,50,mse,0.310,0.231,1.027
509,50,bradley_terry,0.660,0.299,0.987
510,50,mse,0.609,0.493,0.775
511,50,bradley_terry,0.642,0.263,0.965
512,50,mse,0.554,0.455,0.800
513,50,bradley_terry,0.761,0.326,0.983
514,50,mse,0.603,0.270,1.020
515,50,bradley_terry,0.641,0.305,0.956
516,50,mse,0.625,0.260,0.981
517,50,bradley_terry,0.681,0.351,0.958
518,50,mse,0.584,0.360,0.987
519,50,bradley_terry,0.805,0.398,0.957
520,50,mse,0.501,0.318,1.011
521,50,bradley_terry,0.792,0.366,0.981
522,50,mse,0.668,0.353,0.950
523,50,bradley_terry,0.743,0.318,1.018
524,50,mse,0.548,0.276,0.969
525,50,bradley_terry,0.756,0.273,0.983
526,50,mse,0.592,0.378,0.977
527,50,bradley_terry,0.774,0.384,3.116
528,50,mse,0.357,0.297,0.943
529,50,bradley_terry,0.812,0.355,0.975
530,50,mse,0.674,0.502,1.175
531,50,bradley_terry,0.667,0.291,0.994
532,50,mse,0.599,0.205,1.004
533,50,bradley_terry,0.772,0.380,0.987
534,50,mse,0.721,0.416,1.025
535,50,bradley_terry,0.494,0.198,0.991
536,50,mse,0.550,0.382,1.016
537,50,bradley_terry,0.751,0.298,0.942
538,50,mse,0.383,0.233,1.009
539,50,bradley_terry,0.616,0.197,0.996
540,50,mse,0.556,0.303,1.013
541,50,bradley_terry,0.733,0.321,1.318
542,50,mse,0.262,0.100,1.010
543,50,bradley_terry,0.705,0.306,2.425
544,50,mse,0.429,0.336,0.976
545,50,bradley_terry,0.763,0.405,0.838
546,50,mse,0.577,0.358,0.982
547,50,bradley_terry,0.738,0.323,1.020
548,50,mse,0.575,0.339,0.897
549,50,bradley_terry,0.830,0.397,0.983
550,50,mse,0.504,0.483,1.039
551,50,bradley_terry,0.702,0.387,0.975
552,50,mse,0.590,0.342,0.936
553,50,bradley_terry,0.569,0.223,0.991
554,50,mse,0.670,0.348,0.883
555,50,bradley_terry,0.770,0.375,0.971
556,50,mse,0.680,0.373,1.038
557,50,bradley_terry,0.783,0.366,1.016
558,50,mse,0.616,0.383,0.991
559,50,bradley_terry,0.786,0.330,0.971
560,50,mse,0.520,0.204,0.973
561,50,bradley_terry,0.768,0.332,0.967
562,50,mse,0.572,0.335,1.213
563,50,bradley_terry,0.709,0.302,0.983
564,50,mse,0.533,0.273,1.040
565,50,bradley_terry,0.846,0.352,2.681
566,50,mse,0.474,0.336,0.974
567,50,bradley_terry,0.804,0.410,2.519
568,50,mse,0.587,0.345,0.994
569,50,bradley_terry,0.586,0.214,0.992
570,50,mse,0.573,0.365,0.871
571,50,bradley_terry,0.673,0.320,0.937
572,50,mse,0.813,0.621,0.793
573,50,bradley_terry,0.583,0.312,1.002
574,50,mse,0.450,0.280,1.084
575,50,bradley_terry,0.784,0.350,0.981
576,50,mse,0.790,0.369,0.956
577,50,bradley_terry,0.604,0.206,0.965
578,50,mse,0.572,0.354,0.987
579,50,bradley_terry,0.695,0.290,0.917
580,50,mse,0.408,0.300,0.994
581,50,bradley_terry,0.686,0.359,1.022
582,50,mse,0.650,0.348,0.995
583,50,bradley_terry,0.742,0.296,0.987
584,50,mse,0.604,0.394,1.031
585,50,bradley_terry,0.793,0.347,0.923
586,50,mse,0.426,0.225,0.994
587,50,bradley_terry,0.797,0.359,0.942
588,50,mse,0.510,0.223,0.971
589,50,bradley_terry,0.667,0.265,1.020
590,50,mse,0.657,0.247,1.031
591,50,bradley_terry,0.704,0.280,1.006
592,50,mse,0.418,0.163,0.999
593,50,bradley_terry,0.809,0.316,2.195
594,50,mse,0.838,0.382,0.955
595,50,bradley_terry,0.728,0.382,0.931
596,50,mse,0.627,0.380,0.924
597,50,bradley_terry,0.789,0.308,0.994
598,50,mse,0.696,0.432,0.839
599,50,bradley_terry,0.761,0.397,0.954
600,50,mse,0.674,0.367,0.937
601,50,bradley_terry,0.754,0.341,0.969
602,50,mse,0.456,0.357,1.089
603,50,bradley_terry,0.706,0.403,1.771
604,50,mse,0.561,0.298,0.984
605,50,bradley_terry,0.792,0.311,2.201
606,50,mse,0.581,0.435,1.027
607,50,bradley_terry,0.627,0.307,1.988
608,50,mse,0.435,0.365,0.883
609,50,bradley_terry,0.738,0.385,0.887
610,50,mse,0.532,0.416,1.387
611,50,bradley_terry,0.765,0.398,0.994
612,50,mse,0.639,0.323,1.024
613,50,bradley_terry,0.717,0.331,1.111
614,50,mse,0.561,0.285,1.000
615,50,bradley_terry,0.694,0.239,1.025
616,50,mse,0.650,0.373,1.002
617,50,bradley_terry,0.776,0.387,0.917
618,50,mse,0.680,0.385,0.967
619,50,bradley_terry,0.772,0.340,2.327
620,50,mse,0.603,0.613,0.626
621,50,bradley_terry,0.685,0.393,1.114
622,50,mse,0.724,0.454,0.842
623,50,bradley_terry,0.745,0.355,0.975
624,50,mse,0.550,0.539,0.710
625,50,bradley_terry,0.718,0.280,0.986
626,50,mse,0.462,0.305,0.996
627,50,bradley_terry,0.754,0.392,0.979
628,50,mse,0.653,0.338,1.001
629,50,bradley_terry,0.794,0.321,3.058
630,50,mse,0.588,0.403,0.915
631,50,bradley_terry,0.780,0.362,2.009
632,50,mse,0.654,0.355,0.989
633,50,bradley_terry,0.565,0.246,0.976
634,50,mse,0.752,0.411,0.920
