,nonlinearity,alpha,loss,entropy,test_spearman,test_pearson,test_mse
107,exponential,0.13869188565300278,bradley_terry,2.095098172084021,0.999,0.999,712.693
108,exponential,0.13869188565300278,mse,2.1831185385312364,1.000,1.000,0.000
109,exponential,0.13869188565300278,bradley_terry,2.1831185385312364,0.918,0.922,6.115
110,exponential,0.13869188565300278,mse,2.1675855140358613,0.999,0.999,0.001
111,exponential,0.13869188565300278,bradley_terry,2.1675855140358613,1.000,0.999,530.069
112,exponential,0.13869188565300278,mse,2.45710927918467,0.702,0.718,0.486
113,exponential,0.13869188565300278,bradley_terry,2.45710927918467,1.000,0.999,1832.783
114,exponential,0.13869188565300278,mse,1.9336085886206538,1.000,1.000,0.000
115,exponential,0.13869188565300278,bradley_terry,1.9336085886206538,1.000,0.998,646.022
116,exponential,0.13869188565300278,mse,2.1070905234311335,1.000,1.000,0.001
117,exponential,0.13869188565300278,bradley_terry,2.1070905234311335,0.999,0.999,578.640
118,exponential,0.13869188565300278,mse,2.2446473475448587,0.999,0.999,0.001
119,exponential,0.13869188565300278,bradley_terry,2.2446473475448587,0.996,0.995,551.088
120,exponential,0.13869188565300278,mse,2.375610597653259,0.999,0.999,0.001
121,exponential,0.13869188565300278,bradley_terry,2.375610597653259,0.999,0.999,376.876
122,exponential,0.13869188565300278,mse,2.5247572551698743,0.998,0.999,0.003
123,exponential,0.13869188565300278,bradley_terry,2.5247572551698743,0.996,0.996,332.033
124,exponential,0.13869188565300278,mse,2.155162217625487,1.000,1.000,0.000
125,exponential,0.13869188565300278,bradley_terry,2.155162217625487,0.999,0.999,1333.047
126,exponential,0.13869188565300278,mse,2.0526269114989946,0.999,0.999,0.001
127,exponential,0.13869188565300278,bradley_terry,2.0526269114989946,0.996,0.996,75.449
128,exponential,0.13869188565300278,mse,2.259045337763583,1.000,1.000,0.001
129,exponential,0.13869188565300278,bradley_terry,2.259045337763583,0.999,0.999,455.569
130,exponential,0.13869188565300278,mse,2.370719762711084,1.000,1.000,0.000
131,exponential,0.13869188565300278,bradley_terry,2.370719762711084,1.000,0.999,342.093
132,exponential,0.13869188565300278,mse,2.0039659945057826,1.000,1.000,0.000
133,exponential,0.13869188565300278,bradley_terry,2.0039659945057826,1.000,1.000,970.638
134,exponential,0.13869188565300278,mse,2.344323296250403,1.000,1.000,0.000
135,exponential,0.13869188565300278,bradley_terry,2.344323296250403,0.995,0.994,151.403
136,exponential,0.13869188565300278,mse,2.014604990314156,1.000,1.000,0.000
137,exponential,0.13869188565300278,bradley_terry,2.014604990314156,0.999,0.998,765.976
138,exponential,0.13869188565300278,mse,2.088690302984706,1.000,1.000,0.000
139,exponential,0.13869188565300278,bradley_terry,2.088690302984706,0.978,0.978,36.617
140,exponential,0.13869188565300278,mse,2.2064264167041885,0.745,0.755,0.432
141,exponential,0.13869188565300278,bradley_terry,2.2064264167041885,0.999,0.998,371.012
142,exponential,0.13869188565300278,mse,2.5040170433522557,1.000,1.000,0.000
143,exponential,0.13869188565300278,bradley_terry,2.5040170433522557,0.999,0.998,511.010
144,exponential,0.13869188565300278,mse,2.1236960781573293,1.000,1.000,0.001
145,exponential,0.13869188565300278,bradley_terry,2.1236960781573293,0.999,0.999,1548.689
146,exponential,0.13869188565300278,mse,1.3111134124268462,1.000,1.000,0.000
147,exponential,0.13869188565300278,bradley_terry,1.3111134124268462,0.996,0.996,164.848
148,exponential,0.13869188565300278,mse,2.2981250304670877,1.000,1.000,0.000
149,exponential,0.13869188565300278,bradley_terry,2.2981250304670877,0.999,0.998,385.632
150,exponential,0.13869188565300278,mse,2.1034811968378433,1.000,1.000,0.001
151,exponential,0.13869188565300278,bradley_terry,2.1034811968378433,1.000,0.999,1927.344
152,exponential,0.13869188565300278,mse,2.381055719744972,1.000,1.000,0.000
153,exponential,0.13869188565300278,bradley_terry,2.381055719744972,0.975,0.976,373.449
154,exponential,0.13869188565300278,mse,2.3101246855488684,1.000,1.000,0.000
155,exponential,0.13869188565300278,bradley_terry,2.3101246855488684,1.000,0.999,789.813
156,exponential,0.13869188565300278,mse,2.438750069752178,1.000,1.000,0.001
157,exponential,0.13869188565300278,bradley_terry,2.438750069752178,0.999,0.999,1130.397
158,exponential,0.13869188565300278,mse,2.1217577134487877,0.998,0.998,0.003
159,exponential,0.13869188565300278,bradley_terry,2.1217577134487877,1.000,1.000,382.659
160,exponential,0.13869188565300278,mse,1.7527272770636328,1.000,1.000,0.001
161,exponential,0.13869188565300278,bradley_terry,1.7527272770636328,1.000,1.000,1214.035
162,exponential,0.13869188565300278,mse,2.181469012028232,0.999,0.999,0.002
163,exponential,0.13869188565300278,bradley_terry,2.181469012028232,0.998,0.998,657.377
164,exponential,0.13869188565300278,mse,1.8252421389110893,1.000,1.000,0.000
165,exponential,0.13869188565300278,bradley_terry,1.8252421389110893,0.999,0.998,776.924
166,exponential,0.13869188565300278,mse,2.355576682946926,0.999,0.999,0.003
167,exponential,0.13869188565300278,bradley_terry,2.355576682946926,0.999,0.998,349.587
168,exponential,0.13869188565300278,mse,1.9888647364888454,1.000,1.000,0.000
169,exponential,0.13869188565300278,bradley_terry,1.9888647364888454,0.996,0.994,282.298
170,exponential,0.13869188565300278,mse,1.8255364524119522,1.000,1.000,0.000
171,exponential,0.13869188565300278,bradley_terry,1.8255364524119522,1.000,0.999,1647.302
172,exponential,0.13869188565300278,mse,2.2289388650095336,1.000,1.000,0.000
173,exponential,0.13869188565300278,bradley_terry,2.2289388650095336,1.000,0.999,415.933
174,exponential,0.13869188565300278,mse,1.9839476318673392,1.000,1.000,0.000
175,exponential,0.13869188565300278,bradley_terry,1.9839476318673392,0.999,0.999,670.373
176,exponential,0.13869188565300278,mse,2.4388397679725693,0.843,0.855,0.271
177,exponential,0.13869188565300278,bradley_terry,2.4388397679725693,0.994,0.995,185.393
178,exponential,0.13869188565300278,mse,2.104471151872729,1.000,1.000,0.000
179,exponential,0.13869188565300278,bradley_terry,2.104471151872729,0.999,0.999,954.556
180,exponential,0.13869188565300278,mse,2.4810792650422018,0.999,0.999,0.003
181,exponential,0.13869188565300278,bradley_terry,2.4810792650422018,0.999,0.999,213.215
182,exponential,0.13869188565300278,mse,2.2567899847293487,1.000,1.000,0.000
183,exponential,0.13869188565300278,bradley_terry,2.2567899847293487,0.993,0.992,102.059
184,exponential,0.13869188565300278,mse,2.2443285879921335,1.000,1.000,0.001
185,exponential,0.13869188565300278,bradley_terry,2.2443285879921335,1.000,0.999,382.386
186,exponential,0.13869188565300278,mse,2.4751447465949274,1.000,1.000,0.000
187,exponential,0.13869188565300278,bradley_terry,2.4751447465949274,0.999,0.999,623.746
188,exponential,0.13869188565300278,mse,2.221278646993094,0.998,0.998,0.004
189,exponential,0.13869188565300278,bradley_terry,2.221278646993094,0.999,0.998,914.181
190,exponential,0.13869188565300278,mse,2.27277159747254,1.000,1.000,0.000
191,exponential,0.13869188565300278,bradley_terry,2.27277159747254,0.999,0.999,588.314
192,exponential,0.13869188565300278,mse,2.1823361869905376,0.998,0.999,0.003
193,exponential,0.13869188565300278,bradley_terry,2.1823361869905376,0.997,0.997,291.973
194,exponential,0.13869188565300278,mse,2.04412828673949,1.000,1.000,0.000
195,exponential,0.13869188565300278,bradley_terry,2.04412828673949,0.988,0.985,71.068
196,exponential,0.13869188565300278,mse,2.317897337669569,1.000,1.000,0.000
197,exponential,0.13869188565300278,bradley_terry,2.317897337669569,0.999,0.999,432.265
198,exponential,0.13869188565300278,mse,2.303387572114628,1.000,1.000,0.001
199,exponential,0.13869188565300278,bradley_terry,2.303387572114628,0.998,0.997,338.323
200,exponential,0.192354391459856,mse,1.9589441925590632,0.999,0.999,0.002
201,exponential,0.192354391459856,bradley_terry,1.9589441925590632,1.000,0.998,617.147
202,exponential,0.192354391459856,mse,2.060101726362325,0.999,1.000,0.001
203,exponential,0.192354391459856,bradley_terry,2.060101726362325,0.998,0.996,223.280
204,exponential,0.192354391459856,mse,1.8842963928420515,1.000,1.000,0.000
205,exponential,0.192354391459856,bradley_terry,1.8842963928420515,0.999,0.998,229.540
206,exponential,0.192354391459856,mse,2.1510845355429056,1.000,1.000,0.001
207,exponential,0.192354391459856,bradley_terry,2.1510845355429056,1.000,0.999,1660.184
208,exponential,0.192354391459856,mse,2.2077453615164724,0.999,0.999,0.002
209,exponential,0.192354391459856,bradley_terry,2.2077453615164724,1.000,0.999,917.272
210,exponential,0.192354391459856,mse,2.391805370134328,1.000,1.000,0.001
211,exponential,0.192354391459856,bradley_terry,2.391805370134328,1.000,0.999,1204.356
212,exponential,0.192354391459856,mse,1.766063088882095,1.000,1.000,0.001
213,exponential,0.192354391459856,bradley_terry,1.766063088882095,0.999,0.998,660.638
214,exponential,0.192354391459856,mse,2.2639910540825325,0.999,0.999,0.001
215,exponential,0.192354391459856,bradley_terry,2.2639910540825325,1.000,0.999,1862.480
216,exponential,0.192354391459856,mse,1.7711137089891011,1.000,1.000,0.001
217,exponential,0.192354391459856,bradley_terry,1.7711137089891011,0.995,0.994,211.399
218,exponential,0.192354391459856,mse,2.2750936550768004,1.000,1.000,0.001
219,exponential,0.192354391459856,bradley_terry,2.2750936550768004,0.999,0.998,441.477
